SpatialDimValueCode,Location,Period,Sanitation,GdpPerCapita,PositiveCoef,NegativeCoef,ImmunizationMean,SmoothingLifeExpectancy,Reg_AFR,Reg_EUR
DOM,Dominican Republic,2023,89.18607404694048,6710.953372372451,0.8569029930361246,0.786872775223452,77.13198041687288,73.58253759633246,0.0,0.0
DZA,Algeria,2021,85.83967685362956,3573.8206127689928,0.8505794948717481,0.8516220677236338,81.23431578319298,73.57545067726294,1.0,0.0
DZA,Algeria,2022,85.71459528496268,3349.7195262001464,0.8505794948717481,0.8516220677236338,79.9350074820936,72.9066061860345,1.0,0.0
DZA,Algeria,2023,85.6004848036131,3166.0691227540956,0.8505794948717481,0.8516220677236338,78.895560841207,72.36932026955826,1.0,0.0
ECU,Ecuador,2021,91.8031469578457,5267.666305857362,0.8564354001729928,0.76522389048541,72.6134238303254,71.84453948000154,0.0,0.0
ECU,Ecuador,2022,92.71137837190457,4956.642515667252,0.8564354001729928,0.76522389048541,69.99636534294375,70.53387096611144,0.0,0.0
ECU,Ecuador,2023,93.61506862889316,4648.728963379042,0.8564354001729928,0.76522389048541,67.90271855300348,69.48533615499933,0.0,0.0
EGY,Egypt,2021,97.83510531467925,3759.2122037802396,0.7933768587147059,0.5665907963303214,94.34824070284982,69.94060411269973,0.0,0.0
EGY,Egypt,2022,98.14957517725516,4089.9610689882934,0.7933768587147059,0.5665907963303214,94.25787846069704,69.6014737176815,0.0,0.0
EGY,Egypt,2023,98.46247269051818,4418.736141973413,0.7933768587147059,0.5665907963303214,94.18558866697477,69.33016940166691,0.0,0.0
ERI,Eritrea,2021,40.37628706966754,2168.040371970915,0.684787181769146,0.9148435712663118,94.3022640989257,63.987013542966395,1.0,0.0
ERI,Eritrea,2022,40.85742300322766,2032.0597446687714,0.684787181769146,0.9148435712663118,94.28641365696224,64.11182373481978,1.0,0.0
ERI,Eritrea,2023,41.242331750075756,1897.438923639649,0.684787181769146,0.9148435712663118,94.27373330338648,64.22119149117289,1.0,0.0
ESP,Spain,2021,99.92044426940481,26860.74972053682,0.9361178548805122,0.7876134541082637,94.2959575069212,81.78854344019024,0.0,1.0
ESP,Spain,2022,99.92071134037364,25995.942221390353,0.9361178548805122,0.7876134541082637,93.84809942902874,81.5249129150098,0.0,1.0
ESP,Spain,2023,99.92097562116771,25139.78279723535,0.9361178548805122,0.7876134541082637,93.48981296671447,81.31400849486548,0.0,1.0
EST,Estonia,2021,99.08389421674612,24838.073702017165,0.8962394725540148,0.729752857108583,90.78839705152483,78.78988639581993,0.0,1.0
EST,Estonia,2022,99.08699467027668,25495.22408205865,0.8962394725540148,0.729752857108583,90.8225127594577,78.87039997811866,0.0,1.0
EST,Estonia,2023,99.08990282516062,26145.80295829971,0.8962394725540148,0.729752857108583,90.849805325804,78.94535482112089,0.0,1.0
ETH,Ethiopia,2021,9.247677954409472,963.3556440024464,0.7186707073745066,0.8943865933900681,68.13194170679071,69.0291119471425,1.0,0.0
ETH,Ethiopia,2022,9.54398939553463,1025.6495031346042,0.7186707073745066,0.8943865933900681,69.07345729417244,69.18461676084443,1.0,0.0
ETH,Ethiopia,2023,9.838819279454166,1087.3337322020602,0.7186707073745066,0.8943865933900681,69.82666976407783,69.32850750225451,1.0,0.0
FIN,Finland,2021,99.45,49439.65815284192,0.962709327257504,0.7013367718744635,91.57671842844037,81.61606919017647,0.0,1.0
FIN,Finland,2022,99.45,49933.26610003498,0.962709327257504,0.7013367718744635,91.37894716051758,81.65372729454933,0.0,1.0
FIN,Finland,2023,99.45,50421.93796775612,0.962709327257504,0.7013367718744635,91.2207301461793,81.68819361870867,0.0,1.0
